BIL      ,LONGITUD,LATITUD,"KOD FASILITI
","NAMA
","ALAMAT 
",POSKOD           ,LOKASI                             ,PEJABAT KESIHATAN DAERAH,"BANDAR
",DAERAH           ,"NEGERI
",PURATA BEBAN KERJA SEHARI,"JENIS KLINIK (BERDASARKAN PURATA BEBAN KERJA SEHARI)                                                                                                                                 KK1 = >800, KK2 = 500-800, KK3 = 300-500, KK4 =150 -300, KK5 = 100-150, KK6 = 50-100, KK7 = <50",NO TELEFON                          ,NO FAX             ,VAKSIN BCG (Tuberculosis),VAKSIN HEP B (Hepatitis B),"VAKSIN DTaP-Hib/IPV (Difteria, Tetanus, Pertusis, Hemophilus Influenza B, Polio)","VAKSIN MMR (Measles, Mumps, Rubella)",VAKSIN JE (Japaneese Encephalitis),VAKSIN Measles
10,100.898119,5.794840,21-02010047,KK KAMPUNG LALANG,MUKIM SIONG,09100,LUAR BANDAR,PKD BALING,BALING,BALING,KEDAH,147,KK5,04-4721497 / 04-4721613 / 04-4701131,04-4701131 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
11,100.653350,5.605540,21-02010055,KK KUALA KETIL,KUALA KETIL,09300,LUAR BANDAR,PKD BALING,BALING,BALING,KEDAH,317,KK3,04-4163355 / 04-4164557,04-4701131 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
12,100.833760,5.634850,21-02010058,KK KUPANG,"POLIKLINIK KESIHATAN KUPANG, KUPANG BALING",09200,LUAR BANDAR,PKD BALING,BALING,BALING,KEDAH,258,KK4,04-4766355,04-4701131 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
13,100.721600,5.502610,21-02010065,KK MALAU,BALING,09100,LUAR BANDAR,PKD BALING,MALAU,BALING,KEDAH,103,KK5,04-4721095 / 04-4721203,04-4701131 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
14,100.744370,5.704050,21-02010071,KK PARIT PANJANG,BALING,09120,LUAR BANDAR,PKD BALING,BALING,BALING,KEDAH,150,KK4,04-4761246,04-4701131 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
15,100.771000,5.595140,21-02010082,KK TAWAR,KUALA KETIL,09310,LUAR BANDAR,PKD BALING,BALING,BALING,KEDAH,114,KK5,04-4766308,04-4701131 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
16,100.512650,5.126260,21-02020034,KK BANDAR BAHARU,BANDAR BAHARU,34950,BANDAR,PKD BANDAR BAHARU,BANDAR BAHARU,BANDAR BAHARU,KEDAH,169,KK4,04-7178232,04-4079611 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
17,100.590260,5.144090,21-02020061,KK LUBUK BUNTAR,JLN SERDANG-BANDAR BAHARU,09800,LUAR BANDAR,PKD BANDAR BAHARU,SERDANG,BANDAR BAHARU,KEDAH,129,KK5,04-4077320,04-4079611 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
18,100.615617,5.212117,21-02020074,KK SERDANG,SERDANG KEDAH,09800,LUAR BANDAR,PKD BANDAR BAHARU,BANDAR BAHARU,BANDAR BAHARU,KEDAH,202,KK4,04-4077355,04-4079611 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
19,100.307840,6.172730,21-02030028,KK ALOR JANGGUS,"JALAN ALOR JAGGUS, ALOR JAGGUS",06200,BANDAR,PKD KOTA STAR,ALOR SETAR,KOTA SETAR,KEDAH,222,KK4,04-7339043,04-7347295 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
20,100.371050,6.141400,21-02030032,KK BANDAR ALOR SETAR,LEBUH RAYA DARULAMAN,05100,BANDAR,PKD KOTA STAR,ALOR SETAR,KOTA SETAR,KEDAH,966,KK1,04-7308353,04-7347295 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
21,100.477778,6.202778,21-02030045,KK JALAN PUTRA,MEGONG,05150,BANDAR,PKD KOTA STAR,ALOR SETAR,KOTA SETAR,KEDAH,385,KK3,04-7301985 / 04-7355161,04-7347295 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
22,100.403130,5.974590,21-02030052,KK KOTA SARANG SEMUT,"JALAN PENDANG, KOTA SARANG SEMUT",06800,BANDAR,PKD KOTA STAR,ALOR SETAR,KOTA SETAR,KEDAH,196,KK4,04-7691333,04-7347295 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
23,100.301210,6.098720,21-02030054,KK KUALA KEDAH,"JALAN KUALA KEDAH, KUALA KEDAH",06600,BANDAR,PKD KOTA STAR,ALOR SETAR,KOTA SETAR,KEDAH,348,KK3,04-7621526,04-7627053,Ada,Ada,Ada,Ada,Tiada,Tiada
24,100.424970,6.147620,21-02030060,KK LANGGAR,JALAN LANGGAR,06500,BANDAR,PKD KOTA STAR,ALOR SETAR,KOTA SETAR,KEDAH,294,KK4,04-7876648,04-7347295 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
25,100.518380,6.168010,21-02030073,KK POKOK SENA,POKOK SENA,06400,BANDAR,PKD KOTA STAR,ALOR SETAR,KOTA SETAR,KEDAH,395,KK3,04-7821355,04-7822958,Ada,Ada,Ada,Ada,Tiada,Tiada
26,100.385900,6.025980,21-02030075,KK SIMPANG EMPAT,JALAN TOKAI KEDAH,06650,BANDAR,PKD KOTA STAR,ALOR SETAR,KOTA SETAR,KEDAH,325,KK3,04-7641501,04-7647654,Ada,Ada,Ada,Ada,Tiada,Tiada
27,100.361120,6.096940,21-02030076,KK SIMPANG KUALA,JALAN KUALA KEDAH,05400,BANDAR,PKD KOTA STAR,ALOR SETAR,KOTA SETAR,KEDAH,513,KK2,04-7720853,04-7710116,Ada,Ada,Ada,Ada,Tiada,Tiada
28,100.399488,6.121003,21-02030345,KK DATO' KUMBAR,JALAN DATO 'KUMBAR,05300,BANDAR,PKD KOTA STAR,ALOR SETAR,KOTA SETAR,KEDAH,226,KK4,04-7306319,04-7410090,Ada,Ada,Ada,Ada,Tiada,Tiada
29,100.478120,5.634910,21-02040030,KK TAMAN INTAN (BAKAR ARANG),"JALAN TAMAN INTAN, SUNGAI PETANI",08000,BANDAR,PKD KUALA MUDA,KUALA MUDA,KUALA MUDA,KEDAH,1023,KK1,04-4220294,04-4213822,Ada,Ada,Ada,Ada,Tiada,Tiada
30,100.497740,5.647040,21-02040037,KK BANDAR SG. PETANI,"PEJ.KES. DAERAH KUALA MUDA, JALAN BADLISHAH, SUNGAI PETANI",08000,BANDAR,PKD KUALA MUDA,KUALA MUDA,KUALA MUDA,KEDAH,1132,KK1,04-4213355,04-4210076 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
31,100.506460,5.722920,21-02040040,KK BEDONG,"JALAN SEMELING, BEDONG",08100,BANDAR,PKD KUALA MUDA,KUALA MUDA,KUALA MUDA,KEDAH,331,KK3,04-4583333,04-4210076 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
32,100.632722,5.689800,21-02040041,KK BUKIT SELAMBAU,SUNGAI PETANI,08010,LUAR BANDAR,PKD KUALA MUDA,SUNGAI PETANI,KUALA MUDA,KEDAH,176,KK4,04-4193312,04-4193312,Ada,Ada,Ada,Ada,Tiada,Tiada
33,100.374750,5.587500,21-02040051,KK KOTA KUALA MUDA,"JALAN KAMPUNG SUNGAI EMAS, KOTA KUALA MUDA",08500,LUAR BANDAR,PKD KUALA MUDA,SUNGAI PETANI,KUALA MUDA,KEDAH,205,KK4,04-4374225,04-4210076 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
34,100.409472,5.722667,21-02040067,KK MERBOK,"JALAN MERBOK-TANJUNG DAWAI, MERBOK, KUALA MUDA",08400,LUAR BANDAR,PKD KUALA MUDA,MERBUK,KUALA MUDA,KEDAH,329,KK3,04-4572214,04-4572214,Ada,Ada,Ada,Ada,Tiada,Tiada
35,100.534861,5.715722,21-02040077,KK SG. LALANG,"LOT 15&16, TAMAN LEMBAH PERMAI, SUNGAI LALANG, BEDONG",08100,BANDAR,PKD KUALA MUDA,KUALA MUDA,KUALA MUDA,KEDAH,283,KK4,04-4594127,04-4210076 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
36,100.246380,6.240430,21-02050029,KK AYER HITAM,AYER HITAM,06150,BANDAR,PKD KUBANG PASU,KUBANG PASU,KUBANG PASU,KEDAH,434,KK3,04-7942101,04-7943106,Ada,Ada,Ada,Ada,Tiada,Tiada
37,100.458138,6.220883,21-02050031,KK BANAI,JITRA,06000,BANDAR,PKD KUBANG PASU,KUBANG PASU,KUBANG PASU,KEDAH,182,KK4,04-9171382,04-9170375,Ada,Ada,Ada,Ada,Tiada,Tiada
38,100.429344,6.425149,21-02050042,KK CHANGLOON,CHANGLUN,06010,BANDAR,PKD KUBANG PASU,JITRA,KUBANG PASU,KEDAH,530,KK2,04-9241277,04-9241091,Ada,Ada,Ada,Ada,Tiada,Tiada
39,100.416350,6.203930,21-02050049,KK KEPALA BATAS,KEPALA BATAS,06200,BANDAR,PKD KUBANG PASU,JITRA,KUBANG PASU,KEDAH,306,KK3,04-7144820,04-7146519,Ada,Ada,Ada,Ada,Tiada,Tiada
40,100.304901,6.396452,21-02050050,KK KODIANG,KODIANG,06100,BANDAR,PKD KUBANG PASU,KUBANG PASU,KUBANG PASU,KEDAH,370,KK3,04-9250178,04-9250069,Ada,Ada,Ada,Ada,Tiada,Tiada
41,100.420440,6.503860,21-02050059,KK LAKA TEMIN,"BUKIT KAYU HITAM, JITRA",06050,LUAR BANDAR,PKD KUBANG PASU,KUBANG PASU,KUBANG PASU,KEDAH,126,KK5,04-9222561,04-9221655,Ada,Ada,Ada,Ada,Tiada,Tiada
42,100.365990,6.297830,21-02050083,KK TUNJANG,"JALAN KODIANG, JITRA",06000,BANDAR,PKD KUBANG PASU,KUBANG PASU,KUBANG PASU,KEDAH,488,KK3,04-9291524,04-9291380,Ada,Ada,Ada,Ada,Tiada,Tiada
43,100.658260,5.427220,21-02060048,KK KARANGAN,"JALAN MAHANG, KARANGAN",09700,LUAR BANDAR,PKD KULIM,KULIM,KULIM,KEDAH,143,KK5,04-4056261,04-4911843 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
44,100.557650,5.367420,21-02060057,KK KULIM,JALAN HOSPITAL LAMA,09000,BANDAR,PKD KULIM,KULIM,KULIM,KEDAH,457,KK3,04-4905533,04-4911843 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
45,100.530500,5.430120,21-02060063,KK LUNAS,"JALAN ARA KUDA, LUNAS ",09600,LUAR BANDAR,PKD KULIM,KULIM,KULIM,KEDAH,259,KK4,04-4844355,04-4911843 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
46,100.749280,5.322430,21-02060064,KK MAHANG,JALAN MAHANG ,09500,LUAR BANDAR,PKD KULIM,KULIM,KULIM,KEDAH,113,KK5,04-4041333,04-4911843 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
47,100.634920,5.553100,21-02060066,KK MERBAU PULAS,JALAN KUALA KETIL ,09300,LUAR BANDAR,PKD KULIM,KULIM,KULIM,KEDAH,110,KK5,04-4163852,04-4911843 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
48,100.553930,5.510390,21-02060070,KK PADANG SERAI,"JALAN LUNAS, PADANG SERAI",09400,BANDAR,PKD KULIM,KULIM,KULIM,KEDAH,380,KK3,04-4855355,04-4851734,Ada,Ada,Ada,Ada,Tiada,Tiada
49,100.537670,5.378320,21-02060081,KK TAMAN SELASIH,"LOT 3302, TAMAN SELASIH",09000,BANDAR,PKD KULIM,KULIM,KULIM,KEDAH,368,KK3,04-4917377,04-4916606,Ada,Ada,Ada,Ada,Tiada,Tiada
50,99.803810,6.422483,21-02070027,KK AIR HANGAT,JALAN AIR HANGAT ,07000,BANDAR,PKD LANGKAWI,LANGKAWI,LANGKAWI,KEDAH,211,KK4,04-9591959,04-9594954,Ada,Ada,Ada,Ada,Tiada,Tiada
51,99.847510,6.322890,21-02070053,KK KUAH,KUAH,07000,BANDAR,PKD LANGKAWI,LANGKAWI,LANGKAWI,KEDAH,562,KK2,04-9663490,04-9669034 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
52,99.731740,6.350120,21-02070069,KK PADANG MATSIRAT,LANGKAWI,07100,BANDAR,PKD LANGKAWI,LANGKAWI,LANGKAWI,KEDAH,310,KK3,04-9551355,04-9553261,Ada,Ada,Ada,Ada,Tiada,Tiada
53,99.737645,6.294814,21-02070301,KK TEMOYONG,MUKIM KEDAWANG,07000,LUAR BANDAR,PKD LANGKAWI,KUAH,LANGKAWI,KEDAH,81,KK6,04-9531133,04-9669034 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
54,100.725320,6.000640,21-02080062,KK LUBUK MERBAU,PENDANG,06710,LUAR BANDAR,PKD PADANG TERAP,PADANG TERAP,PADANG TERAP,KEDAH,124,KK5,04-7520129,04-7522104,Ada,Ada,Ada,Ada,Tiada,Tiada
55,100.668350,6.140580,21-02080068,KK NAKA,NAKA,06350,LUAR BANDAR,PKD PADANG TERAP,PADANG TERAP,PADANG TERAP,KEDAH,163,KK4,04-7851229,04-7853124,Ada,Ada,Ada,Ada,Tiada,Tiada
56,100.654984,6.224971,21-02080239,KK PEDU,KUALA NERANG,06300,LUAR BANDAR,PKD PADANG TERAP,KUALA NERANG,PADANG TERAP,KEDAH,114,KK5,04-7868717,04-7864722 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
57,100.470475,6.253160,21-02080363,KK KOTA PUTRA,KOTA PUTRA,06300,LUAR BANDAR,PKD PADANG TERAP,KUALA NERANG,PADANG TERAP,KEDAH,26,KK7,04-7860013,04-7860015,Ada,Ada,Ada,Ada,Tiada,Tiada
58,100.479180,5.985490,21-02090072,KK PENDANG,JALAN SUNGAI TIANG,06700,BANDAR,PKD PENDANG,PENDANG,PENDANG,KEDAH,506,KK2,04-7596412,04-7594963,Ada,Ada,Ada,Ada,Tiada,Tiada
59,100.595880,5.995660,21-02090079,KK SUNGAI TIANG,SUNGAI TIANG,06750,LUAR BANDAR,PKD PENDANG,PENDANG,PENDANG,KEDAH,194,KK4,04-7541135,04-7542617,Ada,Ada,Ada,Ada,Tiada,Tiada
60,100.553700,6.089130,21-02090056,KK KUBUR PANJANG,KUBUR PANJANG,06700,LUAR BANDAR,PKD PENDANG,PENDANG,PENDANG,KEDAH,186,KK4,04-7846355,04-7846305,Ada,Ada,Ada,Ada,Tiada,Tiada
61,100.645750,5.813440,21-02100046,KK JENIANG,"JALAN JENIANG, JENIANG SIK",08200,LUAR BANDAR,PKD SIK,SIK,SIK,KEDAH,241,KK4,04-4641200,04-4641210,Ada,Ada,Ada,Ada,Tiada,Tiada
62,100.682836,5.935920,21-02100154,KK KAMPUNG BETONG,"KAMPUNG BETONG, MUKIM JENERI",08200,LUAR BANDAR,PKD SIK,SIK,SIK,KEDAH,128,KK5,04-4620063 / 019-4776363,04-4690602 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
63,100.679760,5.715530,21-02100135,KK FELDA TELOI TIMUR,FELDA TELOI TIMUR,08200,LUAR BANDAR,PKD SIK,SIK,SIK,KEDAH,127,KK5,019-4608741,-,Ada,Ada,Ada,Ada,Tiada,Tiada
64,100.811000,6.027820,21-02100044,KK GULAU,JALAN GULAU NAMI,08210,LUAR BANDAR,PKD SIK,SIK,SIK,KEDAH,100,KK5,04-7522826,04-4690602 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
65,100.381500,5.901270,21-02110078,KK SUNGAI LIMAU DALAM,YAN,06910,BANDAR,PKD YAN,YAN,YAN,KEDAH,134,KK5,04-7696975,04-7696975,Ada,Ada,Ada,Ada,Tiada,Tiada
66,100.362205,5.960015,21-02110242,KK PERMATANG BULUH,"PERMATANG BULUH, KOTA SARANG SEMUT",06800,BANDAR,PKD YAN,YAN,YAN,KEDAH,55,KK6,04-4471451,04-4684251 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
67,100.459890,5.854020,21-02110043,KK GUAR CHEMPEDAK,"JALAN ALOR SETAR GURUN, GUAR CAMPAK",08200,BANDAR,PKD YAN,YAN,YAN,KEDAH,302,KK3,04-4682557 / 04-4683155 / 04-4684433,04-4684251,Ada,Ada,Ada,Ada,Tiada,Tiada
68,100.279744,5.319757,21-07010019,KK BAYAN BARU,"POLIKLINIK KOMUNITI BAYAN BARU, BAYAN BARU ",11950,BANDAR,PKD BARAT DAYA,BAYAN LEPAS,BARAT DAYA,PULAU PINANG,592,KK2,04-6425102,04-6413189,Ada,Ada,Ada,Ada,Tiada,Tiada
69,100.262050,5.299470,21-07010020,KK BAYAN LEPAS,"LOT 1157, MUKIM 12",11900,LUAR BANDAR,PKD BARAT DAYA,BAYAN LEPAS,BARAT DAYA,PULAU PINANG,527,KK2,04-6435434,04-6433967,Ada,Ada,Ada,Ada,Tiada,Tiada
70,100.215010,5.455610,21-07010043,KK TELUK BAHANG,"KLINIK KOMUNITI KESIHATAN TELUK BAHANG, TELUK BAHANG BALIK PULAU",11050,LUAR BANDAR,PKD BARAT DAYA,BAYANG LEPAS,BARAT DAYA,PULAU PINANG,206,KK4,04-8851951,04-8811333,Ada,Ada,Ada,Ada,Tiada,Tiada
71,100.492850,5.167480,21-07020025,KK BUKIT PANCHOR,"LOT 1866, MUKIM 7 JALAN BUKIT PANCHOR",14300,LUAR BANDAR,PKD SEBERANG PERAI SELATAN,NIBONG TEBAL,SEBERANG PERAI SELATAN,PULAU PINANG,271,KK4,04-5931679,04-5939086 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
72,100.492790,5.166602,21-07020033,KK NIBONG TEBAL,"LOT 320, MUKIM 17",14300,LUAR BANDAR,PKD SEBERANG PERAI SELATAN,NIBONG TEBAL,SEBERANG PERAI SELATAN,PULAU PINANG,275,KK4,04-5931355,04-5939086 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
73,100.492140,5.281400,21-07020037,KK BANDAR TASIK MUTIARA,LOT 8767 LORONG TASIK MUTIARA 19/SS2 BANDAR TASIK MUTIARA,14120,LUAR BANDAR,PKD SEBERANG PERAI SELATAN,SIMPANG AMPAT,SEBERANG PERAI SELATAN,PULAU PINANG,533,KK2,04-5079855,04-5939086 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
74,100.422563,5.150278,21-07020038,KK SUNGAI ACHEH,"LOT 1376, MUKIM 10 SUNGAI ACHEH, SEBERANG PERAI SELATAN",14310,LUAR BANDAR,PKD SEBERANG PERAI SELATAN,NIBONG TEBAL,SEBERANG PERAI SELATAN,PULAU PINANG,219,KK4,04-5981733,04-5939086 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
75,100.473940,5.379460,21-07030021,KK BERAPIT,SEBERANG PERAI TENGAH,14000,BANDAR,PKD SEBERANG PERAI TENGAH,BUKIT MERTAJAM,SEBERANG PERAI TENGAH,PULAU PINANG,317,KK3,04-5395400,04-5374595,Ada,Ada,Ada,Ada,Tiada,Tiada
76,100.448307,5.326678,21-07030024,KK BUKIT MINYAK,"LOT 106, MUKIM 14, BUKIT MINYAK",14000,LUAR BANDAR,PKD SEBERANG PERAI TENGAH,BUKIT MERTAJAM,SEBERANG PERAI TENGAH,PULAU PINANG,801,KK1,04-5071355,04-5374595 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
77,100.464310,5.397460,21-07030030,KK KUBANG SEMANG,"LOT 807, MUKIM 5 KUBANG SEMANG",14400,LUAR BANDAR,PKD SEBERANG PERAI TENGAH,BUKIT MERTAJAM,SEBERANG PERAI TENGAH,PULAU PINANG,477,KK3,04-5390654,04-5374595 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
78,100.388187,5.383767,21-07030035,KK PRAI,"PRAI, SEBERANG PERAI TENGAH",13600,BANDAR,PKD SEBERANG PERAI TENGAH,PERAI,SEBERANG PERAI TENGAH,PULAU PINANG,341,KK3,04-3901477,04-5374595 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
79,100.398500,5.393510,21-07030036,KK SEBERANG JAYA,JALAN PERPUSTAKAAN ,13700,BANDAR,PKD SEBERANG PERAI TENGAH,SEBERANG JAYA,SEBERANG PERAI TENGAH,PULAU PINANG,1062,KK1,04-3900264 / 04-3901842,04-3905424,Ada,Ada,Ada,Ada,Tiada,Tiada
80,100.508981,5.336387,21-07030139,KK MACHANG BUBUK,"NO FR 30, LOT 585 MUKIM 16, PERKAMPUNGAN MACHANG BUBOK",14000,BANDAR,PKD SEBERANG PERAI TENGAH,BUKIT MERTAJAM,SEBERANG PERAI TENGAH,PULAU PINANG,167,KK4,04-5511930,-,Ada,Ada,Ada,Ada,Tiada,Tiada
81,100.412180,5.417920,21-07030082,KK PERMATANG PAUH,"JALAN SAMA GAGAH, PERMATANG PAUH",13500,LUAR BANDAR,PKD SEBERANG PERAI TENGAH,SEBERANG JAYA,SEBERANG PERAI TENGAH,PULAU PINANG,70,KK6,04-3981380,04-5374595 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
82,100.368480,5.406780,21-07040026,KK BUTTERWORTH,JALAN PANTAI BUTTERWORTH,12000,BANDAR,PKD SEBERANG PERAI UTARA,BUTTERWORTH,SEBERANG PERAI UTARA,PULAU PINANG,879,KK1,04-3233333,04-3337884,Ada,Ada,Ada,Ada,Tiada,Tiada
83,100.433045,5.516630,21-07040029,KK KEPALA BATAS,"LOT 1466, MUKIM 6, JALAN SHEIKH MOHD TAHIR ",13200,BANDAR,PKD SEBERANG PERAI UTARA,KEPALA BATAS,SEBERANG PERAI UTARA,PULAU PINANG,745,KK2,04-5756755,04-5759155,Ada,Ada,Ada,Ada,Tiada,Tiada
84,100.389380,5.421320,21-07040032,KK MAK MANDIN,"LOT 2882, SEKSYEN 3, JALAN MAK MANDIN",13400,BANDAR,PKD SEBERANG PERAI UTARA,BUTTERWORTH,SEBERANG PERAI UTARA,PULAU PINANG,391,KK3,04-3244685,04-5754433 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
85,100.380560,5.535350,21-07040034,KK PENAGA,"PENAGA, SEBERANG PERAI UTARA",13100,LUAR BANDAR,PKD SEBERANG PERAI UTARA,PENAGA,SEBERANG PERAI UTARA,PULAU PINANG,491,KK3,04-5791718 / 04-5751032,04-5751649,Ada,Ada,Ada,Ada,Tiada,Tiada
86,100.430726,5.441806,21-07040039,KK SUNGAI DUA,"JALAN PENGKALAN MACHANG, SUNGAI DUA BUTTERWORTH",13800,BANDAR,PKD SEBERANG PERAI UTARA,BUTTERWORTH,SEBERANG PERAI UTARA,PULAU PINANG,588,KK2,04-3564355 / 04-3566840,04-3566835,Ada,Ada,Ada,Ada,Tiada,Tiada
87,100.491544,5.483562,21-07040042,KK TASEK GELUGOR,"LOT 1944, MUKIM 12",13300,LUAR BANDAR,PKD SEBERANG PERAI UTARA,TASEK GELUGOR,SEBERANG PERAI UTARA,PULAU PINANG,534,KK2,04-5735025 / 04-5735031 / 04-5735079,04-5754433 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
88,100.359467,5.570465,21-07040063,KK KUALA MUDA,"PENAGA, SEBERANG PERAI UTARA",13110,LUAR BANDAR,PKD SEBERANG PERAI UTARA,KEPALA BATAS,SEBERANG PERAI UTARA,PULAU PINANG,74,KK6,04-5793405,04-5754433 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
89,100.285453,5.389701,21-07050018,KK AIR ITAM,"LOT 322, SEKSYEN 3 JALAN BUKIT BENDERA, TIMUR LAUT",11500,BANDAR,PKD TIMUR LAUT,AYER ITAM,TIMUR LAUT,PULAU PINANG,383,KK3,04-8283355,04-2819500 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
90,100.269040,5.424480,21-07050022,KK BUKIT BENDERA,JALAN BUKIT BENDERA,11300,LUAR BANDAR,PKD TIMUR LAUT,AYER ITAM,TIMUR LAUT,PULAU PINANG,17,KK7,04-8299406,04-2819500 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
91,100.288166,5.336553,21-07050023,KK BUKIT JAMBUL,"BLOK D TAMAN BUKIT JAMBUL, BUKIT JAMBUL ",11900,BANDAR,PKD TIMUR LAUT,BAYAN LEPAS,TIMUR LAUT,PULAU PINANG,280,KK4,04-6448521,04-2819500 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
92,100.326065,5.415100,21-07050027,KK JALAN MACALISTER,"LOT 1762, JALAN MACALISTER",10400,BANDAR,PKD TIMUR LAUT,GEORGETOWN,TIMUR LAUT,PULAU PINANG,637,KK2,04-2289610,04-2819500 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
